-9916007.2221424002	  inf
-7385690.2988522388	2.55175e-01
-7324319.5314154113	8.30942e-03
-7282271.6667919941	5.74086e-03
-7251628.2130758297	4.20795e-03
-7228536.2656215411	3.18438e-03
-7210758.8339430233	2.45934e-03
-7196749.0961139733	1.94289e-03
-7185394.6683115773	1.57772e-03
-7175908.2010982772	1.32024e-03
-7167733.1901351921	1.13923e-03
-7160482.3955611158	1.01159e-03
-7153895.5126299737	9.19894e-04
-7147811.1697516274	8.50494e-04
-7142138.7113864087	7.93594e-04
-7136821.4827531325	7.44487e-04
-7131811.7454160647	7.01956e-04
-7127065.2401667126	6.65540e-04
-7122543.3829181949	6.34463e-04
-7118215.0170924719	6.07699e-04
-7114058.6986519555	5.83899e-04
-7110069.7793841194	5.60709e-04
-7106261.2758586137	5.35649e-04
-7102653.8875454189	5.07635e-04
-7099266.2030471340	4.76960e-04
-7096105.8655423438	4.45164e-04
-7093170.0169435171	4.13727e-04
-7090447.9194220547	3.83763e-04
-7087922.6684851414	3.56148e-04
-7085573.1351425638	3.31484e-04
-7083374.8920637500	3.10242e-04
-7081299.6630997881	2.92972e-04
-7079315.7923991028	2.80156e-04
-7077394.5265829684	2.71391e-04
-7075524.7148707639	2.64195e-04
-7073725.0164066963	2.54355e-04
-7072037.0174598079	2.38629e-04
-7070505.3088056222	2.16587e-04
-7069154.5974749476	1.91035e-04
-7067975.9449414928	1.66732e-04
-7066934.2142095966	1.47387e-04
-7065986.1261104709	1.34158e-04
-7065100.3945476087	1.25351e-04
-7064278.8852860844	1.16277e-04
-7063537.1105932668	1.05004e-04
-7062861.8247135244	9.56017e-05
